"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Anuradhapuraya","Osu sala (4) - Anuradhapura-Anuradhapura","IM-007116","037175",31/03/2018,521.00,0.00,56520.00,"Total For Customer",56520.00,"Total For Area",56520.00,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","Asiri Pharmacy - Chilaw-Chilaw","IO-003780","",04/05/2018,487.00,0.00,1260.00,"Total For Customer",1260.00,"Total For Area",520897.90,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","C.N.S PHARMACY-Chilaw","ID-013980","",30/01/2018,581.00,0.00,11886.00,"Total For Customer",79575.74,"Total For Area",520897.90,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","C.N.S PHARMACY-Chilaw","ID-014495","",05/03/2018,547.00,0.00,51400.79,"Total For Customer",79575.74,"Total For Area",520897.90,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","C.N.S PHARMACY-Chilaw","IO-002974","",05/03/2018,547.00,0.00,16288.95,"Total For Customer",79575.74,"Total For Area",520897.90,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","CC-Cash Payment-aaaa","IO-003503","",13/04/2018,508.00,0.00,5786.20,"Total For Customer",35478.93,"Total For Area",520897.90,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","CC-Cash Payment-aaaa","ID-015292","",02/05/2018,489.00,0.00,1104.83,"Total For Customer",35478.93,"Total For Area",520897.90,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","CC-Cash Payment-aaaa","IO-003829","",09/05/2018,482.00,0.00,1897.40,"Total For Customer",35478.93,"Total For Area",520897.90,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","CC-Cash Payment-aaaa","IT-006075","",28/05/2018,463.00,0.00,6200.00,"Total For Customer",35478.93,"Total For Area",520897.90,"Grand Total",24930740.07
"Date :",03/09/2019,"The West Central Pharma  (PVT)  LTD","Page :",1,"List of Outstanding  Invoices - by Area","Area  :","Company :","","All Areas","Rep :","Location :","All Reps","All Locations","Customer","Invoice","Bill","Effective","Invoice Age","Net Invoice","Amount","Number","Number","Date","(in Days)","Value","Outstanding","Chilaw","CC-Cash Payment-aaaa","IO-004141","",04/06/2018,456.00,0.00,1897.40,"Total For Customer",35478.93,"Total For Area",520897.90,"Grand Total",24930740.07
